Name of Restaurant,Location,Cuisine,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features,Home Delivery,Indoor Seating,Delivery Only,Price Category,Rating Category,Popularity Score,Feature Count,Main Cuisine,Rating Difference,Value Score,High Rated
Yaa Mohaideen Briyani,Pallavaram,['Biryani'],500,4.3,1500,4.3,9306,"['Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,6450.0,2,['Biryani'],0.0,0.86,1
Sukkubhai Biriyani,Alandur,"['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']",1,1,0,High,Good,13459.6,4,['Biryani',0.3000000000000007,0.44,1
SS Hyderabad Biryani,Kodambakkam,"['Biryani', ' North Indian', ' Chinese', ' Arabian']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,5852.3,2,['Biryani',-0.10000000000000053,0.86,1
KFC,Perambur,"['Burger', ' Fast Food', ' Finger Food', ' Beverages']",500,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']",1,1,0,Medium,Good,4404.0,5,['Burger',0.0,0.8,1
Tasty Kitchen,Perambur,"['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,2591.4,2,['Chinese',0.10000000000000053,0.9333333333333335,1
Dine N Fun,Medavakkam,"['South Indian', ' North Indian', ' Chinese']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,2324.7,2,['South Indian',0.2999999999999998,0.911111111111111,1
Bai Veetu Kalyanam,Navallur,['Biryani'],350,3.5,15,4.3,1061,['Home Delivery'],1,0,0,Medium,Average,52.5,1,['Biryani'],-0.7999999999999998,1.0,0
Cafe Arabica,Anna Nagar East,"['Cafe', ' Fast Food']",800,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",1,1,0,High,Good,2872.4,4,['Cafe',0.0,0.5375,1
Savoury Sea Shell,Anna Nagar East,"['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']",1,1,0,High,Good,10768.800000000001,5,['Arabian',0.10000000000000053,0.3,1
Sangeetha Veg Restaurant,T. Nagar,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']",1,1,0,High,Good,6943.200000000001,6,['South Indian',0.20000000000000018,0.55,1
McDonald's,Velachery,"['Burger', ' Fast Food']",500,3.9,743,3.9,6226,"['Breakfast', 'Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,2897.7,3,['Burger',0.0,0.7799999999999999,0
Kovai Alankar Vilas,Anna Nagar East,['South Indian'],700,4.4,961,3.6,7591,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table booking recommended']",1,1,0,Medium,Good,4228.400000000001,4,['South Indian'],0.8000000000000003,0.6285714285714286,1
Hotel Al Buhari,Vadapalani,"['Chinese', ' Chettinad']",350,4.0,982,3.8,22400,"['Home Delivery', 'Indoor Seating']",1,1,0,Medium,Good,3928.0,2,['Chinese',0.20000000000000018,1.1428571428571428,1
